,title,artist,released,lyrics
10,My Generation,The Who,"Nov, 1965","]People try to put us d-down Just because we get around Things they do look awful c-c-cold I hope I die before I get old This is my generationThis is my generation, baby]Why don't you all f-fade away And don't try to dig what we all s-s-say I'm not trying to cause a big s-s-sensation I'm just talkin' 'bout my g-g-g-generation This is my generationThis is my generation, baby]Why don't you all f-fade away And don't try to d-dig what we all s-s-say I'm not trying to cause a big sensation I'm just talkin' 'bout my g-generation This is my generationThis is my generation, babyMy, my, my generationMy, my, my generation]People try to put us d-down Just because we g-g-get around Things they do look awful c-c-cold I hope I die before I get old This is my generationThis is my generation, babyMy, my, my generation Roger Daltrey] My generation My generation This is my generation, baby This is my generation This is my generation This is my generation This is my generation"
11,A Change Is Gonna Come,Sam Cooke,"Dec, 1964","I was born by the riverIn a little tentOh, and just like the river, I've been runnin'Ever sinceIt's been a longA long time comin', but I knowA change gon' comeOh, yes it willIt's been too hard livin'But I'm afraid to die'Cause I don't know what's up thereBeyond the skyIt's been a longA long time comin', but I knowA change gon' comeOh, yes it willI go to the movieAnd I go downtownSomebody keep tellin' me ""don't hang around""It's been a longA long time comin', but I knowA change gon' comeOh, yes it willThen I go to my brotherAnd I say, ""Brother, help me please""But he winds upKnockin' meBack down on my kneesLor', there been times that I thoughtI couldn't last for longBut now I think I'm able toCarry on"
12,Yesterday,The Beatles,"Sep, 1965","YesterdayAll my troubles seemed so far awayNow it looks as though they're here to stayOh, I believe in yesterdaySuddenlyI'm not half the man I used to beThere's a shadow hanging over meOh, yesterday came suddenlyWhy she had to go? I don't know, she wouldn't sayI said something wrong, now I long for yesterdayYesterdayLove was such an easy game to playNow I need a place to hide awayOh, I believe in yesterdayWhy she had to go? I don't know, she wouldn't sayI said something wrong, now I long for yesterdayYesterdayLove was such an easy game to playNow I need a place to hide awayOh, I believe in yesterdayMmm-mmm-mmm-mmm-mmm, hmm-hmm"
13,Blowin' in the Wind,Bob Dylan,"May, 1963","How many roads must a man walk downBefore you call him a man?How many seas must the white dove sailBefore she sleeps in the sand?Yes, and how many times must the cannonballs flyBefore they're forever banned?The answer, my friend, is blowin' in the windThe answer is blowin' in the windYes, and how many years can a mountain exist'Fore it is washed to the sea?Yes, and how many years can some people existBefore they're allowed to be free?Yes, and how many times can a man turn his headAnd pretend that he just doesn't see?The answer, my friend, is blowin' in the windThe answer is blowin' in the windYes, and how many times must a man look upBefore he can see the sky?Yes, and how many ears must one man haveBefore he can hear people cry?Yes, and how many deaths will it take till he knowsThat too many people have died?The answer, my friend, is blowin' in the windThe answer is blowin' in the wind"
14,London Calling,The Clash,"Jan, 1980","London calling to the faraway townsNow war is declared and battle come downLondon calling to the underworldCome outta' the cupboard, ya' boys and girlsLondon calling, now don't look to usPhony Beatlemania has bitten the dustLondon calling, see we ain't got no swing'Cept for the ring of that truncheon thingThe ice age is coming, the sun's zoomin' inMeltdown expected, the wheat is growin' thinEngines stop running, but I have no fearCause London is drownin', I, live by the river to the imitation zoneForget it, brother, you can go it aloneLondon calling to the zombies of deathQuit holdin' out and draw another breathLondon calling and I don't want to shoutBut while we were talking I saw you noddin' outLondon calling, see we ain't got no Hyde'Cept for that one with the yellowy eyesThe ice age is coming, the sun's zoomin' inEngines stop running, the wheat is growin' thinA nuclear error, but I have no fearCause London is drowning, I, I live by the riverThe ice age is coming, the sun's zoomin' inEngines stop running, the wheat is growin' thinA nuclear error, but I have no fearCause London is drowning, I, I live by the riverNow get this"
15,I Want to Hold Your Hand,The Beatles,"Dec, 1963","Oh, yeah, I'll tell you somethingI think you'll understandWhen I'll say that somethingI wanna hold your handI wanna hold your handI wanna hold your handOh, please, say to meYou'll let me be your manAnd please, say to meYou'll let me hold your handNow let me hold your handI wanna hold your handAnd when I touch youI feel happy insideIt's such a feeling that, my loveI can't hideI can't hideI can't hideYeah, youGot that somethingI think you'll understandWhen I'llSay that somethingI want to hold your handI wanna hold your handI wanna hold your handAnd when I touch youI feel happy insideIt's such a feeling that, my loveI can't hideI can't hideI can't hide"
16,Purple Haze,The Jimi Hendrix Experience,"March, 1967","Purple haze all in my brainLately things, they don't seem the sameActing funny, but I don't know why'Scuse me while I kiss the skyPurple haze all aroundDon't know if I'm coming up or downAm I happy or in misery?Whatever it is, that girl put a spell on meHelp me! Help me!Ah no, noYeah! Purple haze all in my eyesDon't know if it's day or nightYou got me blowing, blowing my mindIs it tomorrow, or just the end of time?No, help meNo, yeah purple hazeOh no, noOh, help meTell me, tell meCan't go on like thisYou make me blow my mindNo, no, noNo, no, purple haze"
17,Maybellene,Chuck Berry,"July, 1955","Maybellene, why can't you be true?Oh, Maybellene, why can't you be true?You done started doing the things you used to doAs I was motorvatin' over the hillI saw Maybellene in a Coupe DeVilleA Cadillac a-rollin' on the open roadNothin' will outrun my V8 FordThe Cadillac doin' 'bout ninety-fiveShe's bumper to bumper rollin' side by sideMaybellene, why can't you be true?Oh, Maybellene, why can't you be true?You've started back doing the things you used to doA Cadillac pulled up to one hundred and fourThe Ford got hot and wouldn't do no moreIt done got a cloud and started to rainI tooted my horn for the passin' laneThe rain water blowin' all under my hoodI knew that was doin' my motor goodMaybellene, why can't you be true?Oh, Maybellene, why can't you be true?You done started back doing the things you used to doOh Maybellene, why can't you be trueOh Maybellene, why can't you be trueYou done started back doing the things you used to doThe motor cooled down, the heat went downAnd that's when I heard that highway soundThe Cadillac a-sittin' like a ton of leadA hundred and ten a half a mile aheadThe Cadillac lookin' like it's sittin' stillAnd I caught Maybellene at the top of the hill"
18,Hound Dog,Elvis Presley,"July, 1956","You ain't nothin' but a hound dogCryin' all the timeYou ain't nothin' but a hound dogCryin' all the timeWell, you ain't never caught a rabbitAnd you ain't no friend of mineWhen they said you was high classedWell, that was just a lieYeah, they said you was high classedWell, that was just a lieYeah, you ain't never caught a rabbitAnd you ain't no friend of mineYou ain't nothin' but a hound dogCryin' all the timeYou ain't nothin' but a hound dogCryin' all the timeWell, you ain't never caught a rabbitAnd you ain't no friend of mineAhh, ahhAhh, ahhWhen they said you was high classedWell, that was just a lieYeah, they said you was high classedWell, that was just a lieWell, you ain't never caught a rabbitAnd you ain't no friend of mineAhh, ahhAhh, ahhWhen they said you was high classedWell, that was just a lieYou know, they said you was high classedWell, that was just a lieYeah, you ain't never caught a rabbitAnd you ain't no friend of mine"
19,Let It Be,The Beatles,"March, 1970","When I find myself in times of trouble, Mother Mary comes to meSpeaking words of wisdom, ""Let it be""And in my hour of darkness, she is standing right in front of meSpeaking words of wisdom, ""Let it be""Let it be, let it be, let it be, let it beWhisper words of wisdom, let it beAnd when the brokenhearted people living in the world agreeThere will be an answer, let it beFor though they may be parted, there is still a chance that they will seeThere will be an answer, let it beLet it be, let it be, let it be, let it beYeah, there will be an answer, let it beLet it be, let it be, let it be, let it beWhisper words of wisdom, let it beLet it be, let it be, let it be, yeah, let it beWhisper words of wisdom, let it beAnd when the night is cloudy, there is still a light that shines on meShine on 'til tomorrow, let it beI wake up to the sound of music, Mother Mary comes to meSpeaking words of wisdom, ""Let it be""Let it be, let it be, let it be, yeah, let it beOh, there will be an answer, let it beLet it be, let it be, let it be, yeah, let it beOh, there will be an answer, let it beLet it be, let it be, let it be, yeah, let it beWhisper words of wisdom, let it be"
20,Born to Run,Bruce Springsteen,"Aug, 1975","In the day, we sweat it out on the streetsOf a runaway American dreamAt night, we ride through mansions of gloryIn suicide machinesSprung from cages out on Highway 9Chrome wheeled, fuel injected and steppin' out over the lineOh, baby this town rips the bones from your backIt's a death trap, it's a suicide rapWe gotta get out while we're young`Cause tramps like us, baby we were born to runYes, girl, we wereWendy let me in, I wanna be your friendI want to guard your dreams and visionsJust wrap your legs 'round these velvet rimsAnd strap your hands across my enginesTogether we could break this trapWe'll run till we drop, baby we'll never go backOh, will you walk with me out on the wire?`Cause baby I'm just a scared and lonely riderBut I gotta know how it feelsI want to know if love is wild, babeI want to know if love is realOh, can you show me?Beyond the palace, hemi-powered dronesScream down the boulevardThe girls comb their hair in rearview mirrorsAnd the boys try to look so hardThe amusement park rises bold and starkKids are huddled on the beach in a mistI wanna die with you, Wendy, on the streets tonightIn an everlasting kiss The highways jammed with broken heroesOn a last chance power driveEverybody's out on the run tonightBut there's no place left to hideTogether, Wendy, we can live with the sadnessI'll love you with all the madness in my soulOh, someday girl, I don't know whenWe're gonna get to that placeWhere we really want to go, and we'll walk in the sunBut till then, tramps like usBaby, we were born to run"
21,Be My Baby,The Ronettes,"Aug, 1963","The night we met I knew I needed you soAnd if I had the chance I'd never let you goSo won't you say you love me?I'll make you so proud of meWe'll make 'em turn their heads every place we goSo won't you, please Be my little baby? Say you'll be my darlin' Be my baby now Whoa-oh-oh-ohI'll make you happy, baby, just wait and seeFor every kiss you give me, I'll give you threeOh, since the day I saw youI have been waiting for youYou know I will adore you till eternitySo won't you, please Be my little baby? Say you'll be my darlin' Be my baby now Whoa-oh-oh-ohSo c'mon and be Be my little baby? Say you'll be my darlin' Be my baby now Oh-oh-oh-ohBe my little baby? Oh-oh-oh Oh Whoa-oh-oh-oh Oh-oh-oh Oh Be my baby now Whoa-oh-oh-oh"
22,In My Life,The Beatles,"Dec, 1964","There are places I'll rememberAll my life, though some have changedSome forever, not for betterSome have gone and some remainAll these places had their momentsWith lovers and friends, I still can recallSome are dead and some are livingIn my life, I've loved them allBut of all these friends and loversThere is no one compares with youAnd these memories lose their meaningWhen I think of love as something newThough I know I'll never lose affectionFor people and things that went beforeI know I'll often stop and think about themIn my life, I love you moreThough I know I'll never lose affectionFor people and things that went beforeI know I'll often stop and think about themIn my life, I love you moreIn my life, I love you more"
23,People Get Ready,The Impressions,"Jan, 1965","People get ready, there's a train a-comin'You don't need no baggage, you just get on boardAll you need is faith to hear the diesels hummin'Don't need no ticket, you just thank the LordSo, people get ready for the train to JordanPicking up passengers coast to coastFaith is the key, open the doors and board 'emThere's hope for all among those loved the mostThere ain't no room for the hopeless sinnerWho would hurt all mankind just to save his own, believe me nowHave pity on those whose chances grow thinnerFor there's no hiding place against the kingdom's throneSo, people get ready, there's a train a-comin'You don't need no baggage, you just get on boardAll you need is faith to hear the diesels hummin'Don't need no ticket, you just thank the Lord"
24,God Only Knows,The Beach Boys,"May, 1966","I may not always love youBut long as there are stars above youYou never need to doubt itI'll make you so sure about itGod only knows what I'd be without youIf you should ever leave meWell, life would still go on, believe meThe world could show nothing to meSo what good would living do me?God only knows what I'd be without youOoh, oohDo, do, do, do, do, do, doBow, buh-bow, buh-bow, buh-bow Buh-bow, buh-bow, buh-bow Buh-bow, buh-bow, buh-bow, buh-bow God only knows what I'd be without youIf you should ever leave meWell, life would still go on, believe meThe world could show nothing to meSo what good would living do me?God only knows what I'd be without youGod only knows what I'd be without youGod only knows what I'd be without youGod only knows what I'd be without you God only knows what I'd be without you God only knows what I'd be without you God only knows what I'd be without you God only knows what I'd be without you God only knows what I'd be without you God only knows what I'd be without you God only knows what I'd be without you God only knows what I'd be without you God only knows what I'd be without you "
25,(Sittin' on) the Dock of the Bay,Otis Redding,"Jan, 1968","Sittin' in the mornin' sunI'll be sittin' when the evenin' comeWatching the ships roll inAnd then I watch 'em roll away again, yeahI'm sittin' on the dock of the bayWatching the tide roll awayOoh, I'm just sittin' on the dock of the bayWastin' timeI left my home in GeorgiaHeaded for the 'Frisco bay'Cause I've had nothing to live forAnd look like nothin's gonna come my waySo I'm just gonna sit on the dock of the bayWatching the tide roll awayOoh, I'm sittin' on the dock of the bayWastin' timeLook like nothing's gonna changeEverything still remains the sameI can't do what ten people tell me to doSo I guess I'll remain the same, yesSittin' here resting my bonesAnd this loneliness won't leave me aloneIt's two thousand miles I roamedJust to make this dock my homeNow, I'm just gonna sit at the dock of the bayWatching the tide roll awayOoh-wee, sittin' on the dock of the bayWastin' time"
26,Layla,Derek and the Dominos,"Nov, 1970","What'll you do when you get lonelyAnd nobody's waiting by your side?You've been running and hiding much too longYou know it's just your foolish prideLayla, you've got me on my kneesLayla, I'm begging, darling pleaseLayla, darling won't you ease my worried mind?I tried to give you consolationWhen your old man had let you downLike a fool, I fell in love with youIt turned my whole world upside downLayla, you've got me on my kneesLayla, I'm begging, darling pleaseLayla, darling won't you ease my worried mind?So make the best of the situationBefore I finally go insanePlease don't say we'll never find a wayAnd tell me all my love's in vainLayla, you've got me on my kneesLayla, I'm begging, darling pleaseLayla, darling won't you ease my worried mind?Layla, you've got me on my kneesLayla, I'm begging, darling pleaseLayla, darling won't you ease my worried mind?"
27,A Day in the Life,The Beatles,"June, 1967","I read the news todayâoh, boyAbout a lucky man who made the gradeAnd though the news was rather sadWell, I just had to laughI saw the photographHe blew his mind out in a carHe didn't notice that the lights had changedA crowd of people stood and staredThey'd seen his face beforeNobody was really sure if he was from the House of LordsI saw a film today, oh boyThe English Army had just won the warA crowd of people turned awayBut I just had to lookHaving read the bookI'd love to turn you on*alarm clock rings*Woke up, fell out of bedDragged a comb across my headFound my way downstairs and drank a cupAnd looking up I noticed I was lateFound my coat and grabbed my hatMade the bus in seconds flatFound my way upstairs and had a smokeAnd somebody spoke and I went into a dreamAhh-ah-ah-ahAh-ah-ah, ah-ah-ahh"
28,Help!,The Beatles,"July, 1965 "," I need somebody Not just anybody You know I need someoneWhen I was younger so much younger than todayI never needed anybody's help in any wayBut now these days are gone, I'm not so self assuredNow I find I've changed my mind and opened up the doorsHelp me if you can, I'm feeling downAnd I do appreciate you being 'roundHelp me get my feet back on the groundWon't you please, please help me?And now my life has changed in oh so many waysMy independence seems to vanish in the hazeBut every now and then I feel so insecureI know that I just need you like I've never done beforeHelp me if you can, I'm feeling downAnd I do appreciate you being 'roundHelp me get my feet back on the groundWon't you please, please help me?When I was younger, so much younger than todayI never needed anybody's help in any wayBut now these days are gone, I'm not so self assuredNow I find I've changed my mind and opened up the doorsHelp me if you can, I'm feeling downAnd I do appreciate you being 'roundHelp me get my feet back on the groundWon't you please, please help me?Help me? Help me? Ooh"
29,I Walk the Line,Johnny Cash,"Aug, 1956","I keep a close watch on this heart of mineI keep my eyes wide open all the timeI keep the ends out for the tie that bindsBecause you're mine, I walk the lineI find it very, very easy to be trueI find myself alone when each day's throughYes, I'll admit that I'm a fool for youBecause you're mine, I walk the lineAs sure as night is dark and day is lightI keep you on my mind both day and nightAnd happiness I've known proves that it's rightBecause you're mine, I walk the lineYou've got a way to keep me on your sideYou give me cause for love that I can't hideFor you, I know I'd even try to turn the tideBecause you're mine, I walk the lineI keep a close watch on this heart of mineI keep my eyes wide open all the timeI keep the ends out for the tie that bindsBecause you're mine, I walk the line"
30,Stairway to Heaven,Led Zeppelin,"Nov, 1971","There's a lady who's sure all that glitters is goldAnd she's buying a stairway to HeavenWhen she gets there she knows, if the stores are all closedWith a word she can get what she came forOoh, ooh, and she's buying a stairway to HeavenThere's a sign on the wall, but she wants to be sure'Cause you know sometimes words have two meaningsIn a tree by the brook, there's a songbird who singsSometimes all of our thoughts are misgivenOoh, it  makes me wonderOoh, makes me wonderThere's a feeling I get when I look to the WestAnd my spirit is crying for leavingIn my thoughts I have seen rings of smoke through the treesAnd the voices of those who stand lookingOoh, it makes me wonderOoh, really makes me wonderAnd it's whispered that soon if we all call the tuneThen the piper will lead us to reasonAnd a new day will dawn for those who stand longAnd the forests will echo with laughterOh-oh-oh-oh-woahhhIf there's a bustle in your hedgerow, don't be alarmed nowIt's just a spring clean for the May queenYes, there are two paths you can go by, but in the long runThere's still time to change the road you're on"
31,Sympathy for the Devil,The Rolling Stones,"Dec, 1968","Yow....yow....yowHuh, huh, huhPlease allow me to introduce myselfI'm a man of wealth and tasteI've been around for a long, long yearStole many a man's soul and faithI was 'round when Jesus ChristHad his moment of doubt and painMade damn sure that PilateWashed his hands and sealed his fatePleased to meet you, hope you guess my nameBut what's puzzling you is the nature of my gameI stuck around St. PetersburgWhen I saw it was a time for a changeKilled the Czar and his ministersAnastasia screamed in vainI rode a tank, held a general's rankWhen the Blitzkrieg raged and the bodies stankPleased to meet you, hope you guess my name, oh yeahBut what's puzzling you is the nature of my game, ah yeahI watched with glee while your kings and queensFought for ten decades for the gods they madeI shouted out, ""Who killed the Kennedys?""Well, after all, it was you and meLet me please introduce myselfI'm a man of wealth and tasteAnd I laid traps for troubadoursWho get killed before they reach Bombay"
32,River Deep - Mountain High,Tina Turner,"May, 1966","When I was a little girlI had a rag dollOnly doll I've ever ownedNow I love you just the way I loved that rag dollBut only now my love has grownAnd it gets stronger, in every wayAnd it gets deeper, let me sayAnd it gets higher, day by dayAnd do I love you my oh myYeah, river deep, mountain highIf I lost you would I cryOh how I love you baby, baby, baby, babyWhen you were a young boyDid you have a puppyThat always followed you aroundWell I'm gonna be as faithful as that puppyNo I'll never let you down'Cause it grows stronger, like a river flowsAnd it gets bigger baby, and heaven knowsAnd it gets sweeter baby, as it growsAnd do I love you my oh myYeah, river deep, mountain highIf I lost you would I cryOh how I love you baby, baby, baby, babyIf I lost you would I cryOh how I love you baby, baby, baby, babyI love you baby like a flower loves the springAnd I love you baby just like Tina loves to singAnd I love you baby like a school boy loves his petAnd I love you baby, river deep, mountain highOh yeah you've gotta believe meRiver deep, mountain highDo I love you my oh my, oh babyRiver deep, mountain highIf I lost you would I cryOh how I love you baby, baby, baby, baby"
33,You've Lost That Lovin' Feelin'',The Righteous Brothers,"Dec, 1964","You never close your eyes anymoreWhen I kiss your lipsAnd there's no tenderness like beforeIn your fingertipsYou're trying hard not to show it But baby, baby, I know itYou've lost that lovin' feelin'Whoa, that lovin' feelin'You've lost that lovin' feelin'Now it's gone, gone, gone, whoa-oh-oh-oh-ohNow there's no welcome look in your eyesWhen I reach for youAnd now you're starting to criticizeLittle things I doIt makes me just feel like crying 'Cause, baby, something beautiful's dyingYou've lost that lovin' feelin'Whoa, that lovin' feelin'You've lost that lovin' feelin'Now it's gone, gone, gone, whoa-oh-oh-oh-ohBaby, baby, I'd get down on my knees for youIf you would only love me like you used to do, yeahWe had a love, a love, a love you don't find every daySo don't, don't, don't, don't let it slip awayBaby , baby I beg of you, please , please I need your love I need your love So bring it on back Bring it on back "
34,Light My Fire,The Doors,"June, 1967","You know that it would be untrueYou know that I would be a liarIf I was to say to youGirl, we couldn't get much higherCome on, baby, light my fireCome on, baby, light my fireTry to set the night on fireThe time to hesitate is throughNo time to wallow in the mireTry, now we can only loseAnd our love become a funeral pyreCome on, baby, light my fireCome on, baby, light my fireTry to set the night on fireYeahThe time to hesitate is throughNo time to wallow in the mireTry, now we can only loseAnd our love become a funeral pyreCome on, baby, light my fireCome on, baby, light my fireTry to set the night on fireYeah"
35,One,U2,"Nov, 1991","Is it getting betterOr do you feel the same?Will it make it easier on you, nowYou got someone to blame?You say one love, one lifeWhen it's one need in the nightOne love, we get to share itLeaves you, baby, if you don't care for itDid I disappoint youOr leave a bad taste in your mouth?You act like you never had loveAnd you want me to go withoutWell, it's too late tonightTo drag the past out into the lightWe're one, but we're not the sameWe get to carry each other, carry each otherOneHave you come here for forgiveness?Have you come to raise the dead?Have you come here to play JesusTo the lepers in your head?Did I ask too much? More than a lotYou gave me nothing, now it's all I gotWe're one, but we're not the sameWell, we hurt each other, then we do it againYou say love is a temple, love a higher lawLove is a temple, love the higher lawYou ask me to enter, but then you make me crawlAnd I can't be holding on to what you gotWhen all you got is hurt"
36,"No Woman, No Cry",Bob Marley,"May, 1975","No woman, no cryNo woman, no cryNo woman, no cryNo woman, no cry'Cause, 'cause, 'cause I remember when we used to sitIn the government yard in TrenchtownOba, observing the hypocrites, yeahMingle with the good people we meet, yeahGood friends we have had, oh good friends we've lost along the way, yeahIn this bright future you can't forget your pastSo dry your tears I say, yeahNo woman, no cryNo woman, no cry, eh, yeahLittle darling don't shed no tearsNo woman, no cryEh, Said, said, said I remember when we used to sitIn the government yard in Trenchtown, yeahAnd then Georgie would make the fire light, I sayA log wood burning through the nightThen we would cook corn meal porridge, I sayOf which I'll share with you, yeahMy feet is my only carriageAnd so I've got to push on throughBut while I'm goneEverything's going to be alrightEverything's going to be alrightEverything's going to be alrightEverything's going to be alrightEverything's going to be alrightEverything's going to be alrightEverything's going to be alrightEverything's going to be alrightSo No woman, no cryNo woman, no cry, I sayOh little, oh little darling, don't shed no tearsNo woman, no cry, eh"
